Checking the given root
-1.516e-13	
r	f(e,r)	Exact
0	0	0
0.001	0.000999	0.000999
0.002	0.001996	0.001996
0.003	0.00299101	0.00299101
0.004	0.00398401	0.00398403
0.005	0.00497502	0.00497506
0.006	0.00596404	0.00596411
0.007	0.00695105	0.00695117
0.008	0.00793607	0.00793626
0.009	0.0089191	0.00891936
0.01	0.00990012	0.0099005
0.011	0.0108791	0.0108797
0.012	0.0118562	0.0118569
0.013	0.0128312	0.0128321
0.014	0.0138043	0.0138054
0.015	0.0147753	0.0147767
0.016	0.0157443	0.015746
0.017	0.0167114	0.0167134
0.018	0.0176764	0.0176789
0.019	0.0186395	0.0186424
0.02	0.0196005	0.019604
0.021	0.0205596	0.0205636
0.022	0.0215167	0.0215213
0.023	0.0224717	0.022477
0.024	0.0234248	0.0234309
0.025	0.0243759	0.0243827
0.026	0.0253249	0.0253327
0.027	0.026272	0.0262808
0.028	0.0272171	0.0272269
0.029	0.0281602	0.0281711
0.03	0.0291013	0.0291134
0.031	0.0300403	0.0300537
0.032	0.0309774	0.0309922
0.033	0.0319125	0.0319288
0.034	0.0328456	0.0328634
0.035	0.0337767	0.0337962
0.036	0.0347058	0.0347271
0.037	0.0356329	0.035656
0.038	0.0365581	0.0365831
0.039	0.0374812	0.0375083
0.04	0.0384023	0.0384316
0.041	0.0393214	0.039353
0.042	0.0402385	0.0402725
0.043	0.0411536	0.0411902
0.044	0.0420668	0.042106
0.045	0.0429779	0.0430199
0.046	0.043887	0.0439319
0.047	0.0447942	0.0448421
0.048	0.0456993	0.0457504
0.049	0.0466025	0.0466569
0.05	0.0475036	0.0475615
0.051	0.0484027	0.0484642
0.052	0.0492999	0.0493651
0.053	0.0501951	0.0502641
0.054	0.0510882	0.0511613
0.055	0.0519794	0.0520567
0.056	0.0528685	0.0529502
0.057	0.0537557	0.0538419
0.058	0.0546409	0.0547317
0.059	0.0555297	0.0556197
0.06	0.0564121	0.0565059
0.061	0.0572926	0.0573902
0.062	0.0581713	0.0582727
0.063	0.0590547	0.0591534
0.064	0.0599305	0.0600323
0.065	0.0608044	0.0609094
0.066	0.0616764	0.0617846
0.067	0.0625466	0.0626581
0.068	0.063415	0.0635297
0.069	0.0642815	0.0643995
0.07	0.065154	0.0652676
0.071	0.0660174	0.0661338
0.072	0.0668789	0.0669982
0.073	0.0677386	0.0678609
0.074	0.0685964	0.0687217
0.075	0.0694524	0.0695808
0.076	0.0703066	0.070438
0.077	0.0711589	0.0712935
0.078	0.0720094	0.0721472
0.079	0.072858	0.0729992
0.08	0.0737048	0.0738493
0.081	0.0745497	0.0746977
0.082	0.0754006	0.0755443
0.083	0.076242	0.0763891
0.084	0.0770817	0.0772322
0.085	0.0779194	0.0780735
0.086	0.0787553	0.0789131
0.087	0.0795893	0.0797509
0.088	0.0804215	0.080587
0.089	0.0812518	0.0814213
0.09	0.0820803	0.0822538
0.091	0.0829111	0.0830846
0.092	0.0837369	0.0839137
0.093	0.084561	0.084741
0.094	0.0853876	0.0855666
0.095	0.0862087	0.0863904
0.096	0.0870287	0.0872125
0.097	0.0878472	0.0880329
0.098	0.0886639	0.0888516
0.099	0.0894789	0.0896685
0.1	0.0902921	0.0904837
0.101	0.0911036	0.0912972
0.102	0.0919137	0.092109
0.103	0.092722	0.0929191
0.104	0.0935286	0.0937274
0.105	0.0943334	0.0945341
0.106	0.0951364	0.095339
0.107	0.0959377	0.0961422
0.108	0.0967372	0.0969438
0.109	0.0975349	0.0977436
0.11	0.0983309	0.0985418
0.111	0.0991251	0.0993382
0.112	0.0999175	0.100133
0.113	0.100708	0.100926
0.114	0.101497	0.101717
0.115	0.102284	0.102507
0.116	0.103069	0.103295
0.117	0.103853	0.104081
0.118	0.104634	0.104866
0.119	0.105415	0.105649
0.12	0.106196	0.10643
0.121	0.106974	0.10721
0.122	0.107751	0.107988
0.123	0.108526	0.108764
0.124	0.1093	0.109539
0.125	0.110071	0.110312
0.126	0.110842	0.111083
0.127	0.111626	0.111853
0.128	0.112393	0.112621
0.129	0.113158	0.113388
0.13	0.113921	0.114152
0.131	0.114683	0.114916
0.132	0.115443	0.115677
0.133	0.116201	0.116437
0.134	0.116958	0.117195
0.135	0.117713	0.117952
0.136	0.118466	0.118707
0.137	0.119217	0.11946
0.138	0.119967	0.120212
0.139	0.120715	0.120962
0.14	0.121461	0.12171
0.141	0.122206	0.122457
0.142	0.12295	0.123202
0.143	0.123692	0.123946
0.144	0.124434	0.124688
0.145	0.125173	0.125428
0.146	0.125911	0.126167
0.147	0.126647	0.126904
0.148	0.127382	0.12764
0.149	0.128115	0.128374
0.15	0.128847	0.129106
0.151	0.129577	0.129837
0.152	0.130305	0.130566
0.153	0.131031	0.131294
0.154	0.131756	0.13202
0.155	0.132479	0.132744
0.156	0.133201	0.133467
0.157	0.133921	0.134189
0.158	0.134639	0.134908
0.159	0.135356	0.135626
0.16	0.136071	0.136343
0.161	0.136785	0.137058
0.162	0.137496	0.137771
0.163	0.138206	0.138483
0.164	0.138915	0.139194
0.165	0.139622	0.139902
0.166	0.140329	0.14061
0.167	0.141034	0.141315
0.168	0.141737	0.142019
0.169	0.142439	0.142722
0.17	0.143139	0.143423
0.171	0.143838	0.144122
0.172	0.144535	0.14482
0.173	0.145231	0.145517
0.174	0.145925	0.146212
0.175	0.146617	0.146905
0.176	0.147308	0.147597
0.177	0.147998	0.148287
0.178	0.148685	0.148976
0.179	0.149371	0.149663
0.18	0.150056	0.150349
0.181	0.150739	0.151033
0.182	0.15142	0.151715
0.183	0.1521	0.152397
0.184	0.152778	0.153076
0.185	0.153454	0.153754
0.186	0.154129	0.154431
0.187	0.154804	0.155106
0.188	0.155477	0.15578
0.189	0.156148	0.156452
0.19	0.156818	0.157122
0.191	0.157487	0.157791
0.192	0.158154	0.158459
0.193	0.158819	0.159125
0.194	0.159483	0.15979
0.195	0.160146	0.160453
0.196	0.160807	0.161114
0.197	0.161466	0.161775
0.198	0.162124	0.162433
0.199	0.16278	0.16309
0.2	0.163435	0.163746
0.201	0.164088	0.1644
0.202	0.16474	0.165053
0.203	0.16539	0.165704
0.204	0.166039	0.166354
0.205	0.166686	0.167003
0.206	0.167331	0.16765
0.207	0.167975	0.168295
0.208	0.168619	0.168939
